class,XX1_1,YY1_1,XX2_1,YY2_1,SIZE_1,DIAG_1,XX1_2,YY1_2,XX2_2,YY2_2,SIZE_2,DIAG_2,XX3_1,YY1_3,XX2_3,YY2_3,SIZE_3,DIAG_3,XX1_4,YY1_4,XX2_4,YY2_4,SIZE_4,DIAG_4,XX1_5,YY1_5,XX2_5,YY2_5,SIZE_5,DIAG_5
1,0,0,0,18,18.00,33.97,23,0,23,16,16.00,33.97,0,18,23,16,23.09,33.97,0,18,0,25,7.00,33.97,23,16,0,25,24.70,33.97
7,0,0,0,9,9.00,23.85,11,0,13,11,11.18,23.85,0,9,13,11,13.15,23.85,0,9,0,19,10.00,23.85,13,11,13,20,9.00,23.85
9,0,0,0,25,25.00,35.69,0,25,0,35,10.00,35.69,0,35,7,34,7.07,35.69,7,34,7,29,5.00,35.69,7,29,0,24,8.60,35.69
2,22,0,13,6,10.82,42.19,13,6,0,12,14.32,42.19,0,12,0,24,12.00,42.19,0,24,13,30,14.32,42.19,13,30,22,36,10.82,42.19
4,0,0,0,20,20.00,31.91,0,20,1,27,7.07,31.91,0,20,12,22,12.17,31.91,1,27,17,26,16.03,31.91,0,0,6,1,6.08,31.91
7,0,0,0,14,14.00,40.61,21,0,23,19,19.10,40.61,0,14,23,19,23.54,40.61,0,14,1,24,10.05,40.61,23,19,25,32,13.15,40.61
4,0,0,0,12,12.00,50.99,0,12,1,36,24.02,50.99,0,12,34,12,34.00,50.99,1,36,15,38,14.14,50.99,0,0,21,0,21.00,50.99
3,0,0,1,29,29.02,32.20,1,29,12,21,13.60,32.20,12,21,14,14,7.28,32.20,14,14,12,7,7.28,32.20,12,7,0,0,13.89,32.20
6,16,0,0,6,17.09,24.08,0,6,0,12,6.00,24.08,0,12,16,18,17.09,24.08,16,0,16,6,6.00,24.08,16,6,13,6,3.00,24.08
4,0,0,0,7,7.00,29.00,0,7,2,21,14.14,29.00,0,7,11,8,11.05,29.00,2,21,20,21,18.00,29.00,0,0,6,1,6.08,29.00
7,0,0,0,23,23.00,45.62,18,0,20,7,7.28,45.62,0,23,20,7,25.61,45.62,0,23,0,41,18.00,45.62,20,7,19,21,14.04,45.62
9,0,0,0,30,30.00,59.03,0,30,1,46,16.03,59.03,1,46,37,34,37.95,59.03,37,34,37,21,13.00,59.03,37,21,0,8,39.22,59.03
7,0,0,0,22,22.00,45.12,7,0,9,12,12.17,45.12,0,22,9,12,13.45,45.12,0,22,1,44,22.02,45.12,9,12,10,20,8.06,45.12
6,42,0,0,15,44.60,60.83,0,15,0,30,15.00,60.83,0,30,42,44,44.27,60.83,42,0,40,9,9.22,60.83,42,9,37,9,5.00,60.83
4,0,0,0,17,17.00,29.53,0,17,2,26,9.22,29.53,0,17,11,18,11.05,29.53,2,26,14,26,12.00,29.53,0,0,7,1,7.07,29.53
4,0,0,0,20,20.00,50.45,0,20,0,37,17.00,50.45,0,20,32,20,32.00,50.45,0,37,27,37,27.00,50.45,0,0,11,-2,11.18,50.45
6,5,0,0,4,6.40,13.89,0,4,0,8,4.00,13.89,0,8,5,12,6.40,13.89,5,0,3,10,10.20,13.89,7,10,1,10,6.00,13.89
7,0,0,0,7,7.00,26.42,10,0,12,10,10.20,26.42,0,7,12,10,12.37,26.42,0,7,0,13,6.00,26.42,12,10,13,23,13.04,26.42
4,0,0,0,19,19.00,60.96,0,19,0,44,25.00,60.96,0,19,40,17,40.05,60.96,0,44,6,46,6.32,60.96,0,0,24,2,24.08,60.96
1,0,0,0,19,19.00,30.08,8,0,8,24,24.00,30.08,0,19,8,24,9.43,30.08,0,19,1,29,10.05,30.08,8,24,1,29,8.60,30.08
7,0,0,0,6,6.00,27.78,10,0,12,11,11.18,27.78,0,6,12,11,13.00,27.78,0,6,2,20,14.14,27.78,12,11,14,24,13.15,27.78
6,12,0,0,9,15.00,31.30,0,9,0,18,9.00,31.30,0,18,12,28,15.62,31.30,12,0,14,10,10.20,31.30,14,10,9,10,5.00,31.30
9,0,0,0,22,22.00,31.02,0,22,2,29,7.28,31.02,2,29,11,24,10.30,31.02,11,24,11,17,7.00,31.02,11,17,0,10,13.04,31.02
7,0,0,0,15,15.00,41.40,22,0,24,6,6.32,41.40,0,15,24,6,25.63,41.40,0,15,1,33,18.03,41.40,24,6,25,26,20.02,41.40
4,0,0,0,24,24.00,48.17,0,24,0,34,10.00,48.17,0,24,30,24,30.00,48.17,0,34,32,34,32.00,48.17,0,0,10,-2,10.20,48.17
1,0,0,0,18,18.00,44.78,21,0,22,10,10.05,44.78,0,18,22,10,23.41,44.78,0,18,12,39,24.19,44.78,22,10,12,39,30.68,44.78
4,0,0,0,24,24.00,56.94,0,24,2,49,25.08,56.94,0,24,29,23,29.02,56.94,2,49,26,49,24.00,56.94,0,0,23,0,23.00,56.94
1,0,0,0,18,18.00,34.71,22,0,23,19,19.03,34.71,0,18,23,19,23.02,34.71,0,18,20,26,21.54,34.71,23,19,20,26,7.62,34.71
4,0,0,0,16,16.00,31.24,0,16,1,22,6.08,31.24,0,16,11,15,11.05,31.24,1,22,17,21,16.03,31.24,0,0,20,-2,20.10,31.24
4,0,0,0,16,16.00,51.61,0,16,0,40,24.00,51.61,0,16,30,16,30.00,51.61,0,40,29,41,29.02,51.61,0,0,29,-1,29.02,51.61
7,0,0,0,18,18.00,38.59,18,0,20,13,13.15,38.59,0,18,20,13,20.62,38.59,0,18,1,33,15.03,38.59,20,13,19,20,7.07,38.59
4,0,0,0,22,22.00,41.23,0,22,0,28,6.00,41.23,0,22,10,22,10.00,41.23,0,28,14,30,14.14,41.23,0,0,26,-2,26.08,41.23
7,0,0,0,13,13.00,43.01,21,0,23,6,6.32,43.01,0,13,23,6,24.04,43.01,0,13,2,35,22.09,43.01,23,6,25,16,10.20,43.01
6,21,0,0,17,27.02,54.63,0,17,0,34,17.00,54.63,0,34,21,50,26.40,54.63,21,0,21,10,10.00,54.63,22,10,18,10,4.00,54.63
3,0,0,1,39,39.01,43.83,1,39,17,30,18.36,43.83,17,30,20,20,10.44,43.83,20,20,17,10,10.44,43.83,17,10,0,0,19.72,43.83
6,8,0,0,5,9.43,17.89,0,5,0,10,5.00,17.89,0,10,8,16,10.00,17.89,8,0,8,10,10.00,17.89,8,10,4,10,4.00,17.89
9,0,0,0,39,39.00,65.97,0,39,0,64,25.00,65.97,0,64,16,56,17.89,65.97,16,56,16,47,9.00,65.97,16,47,0,38,18.36,65.97
3,0,0,1,39,39.01,45.28,1,39,21,30,21.93,45.28,21,30,23,20,10.20,45.28,23,20,21,10,10.20,45.28,21,10,0,0,23.26,45.28
1,0,0,0,7,7.00,28.28,19,0,20,6,6.08,28.28,0,7,20,6,20.02,28.28,0,7,6,20,14.32,28.28,20,6,6,20,19.80,28.28
1,0,0,0,15,15.00,35.11,11,0,12,7,7.07,35.11,0,15,12,7,14.42,35.11,0,15,6,33,18.97,35.11,12,7,6,33,26.68,35.11
6,14,0,0,7,15.65,25.00,0,7,0,14,7.00,25.00,0,14,14,20,15.23,25.00,14,0,14,11,11.00,25.00,15,11,9,11,6.00,25.00
4,0,0,0,20,20.00,42.19,0,20,2,36,16.12,42.19,0,20,11,18,11.18,42.19,2,36,16,34,14.14,42.19,0,0,22,0,22.00,42.19
4,0,0,0,24,24.00,47.42,0,24,0,34,10.00,47.42,0,24,32,24,32.00,47.42,0,34,19,34,19.00,47.42,0,0,16,-1,16.03,47.42
9,0,0,0,21,21.00,31.78,0,21,1,29,8.06,31.78,1,29,13,27,12.17,31.78,13,27,13,22,5.00,31.78,13,22,0,17,13.93,31.78
3,0,0,2,20,20.10,22.36,2,20,9,15,8.60,22.36,9,15,10,10,5.10,22.36,10,10,9,5,5.10,22.36,9,5,0,0,10.30,22.36
4,0,0,0,11,11.00,23.60,0,11,0,18,7.00,23.60,0,11,10,10,10.05,23.60,0,18,9,18,9.00,23.60,0,0,14,-1,14.04,23.60
1,0,0,0,24,24.00,44.78,17,0,18,17,17.03,44.78,0,24,18,17,19.31,44.78,0,24,8,41,18.79,44.78,18,17,8,41,26.00,44.78
4,0,0,0,12,12.00,33.24,0,12,0,32,20.00,33.24,0,12,7,14,7.28,33.24,0,32,9,31,9.06,33.24,0,0,6,1,6.08,33.24
4,0,0,0,18,18.00,62.29,0,18,0,43,25.00,62.29,0,18,26,18,26.00,62.29,0,43,13,45,13.15,62.29,0,0,42,-1,42.01,62.29
4,0,0,0,25,25.00,55.87,0,25,2,39,14.14,55.87,0,25,38,26,38.01,55.87,2,39,40,37,38.05,55.87,0,0,12,2,12.17,55.87
4,0,0,0,10,10.00,32.56,0,10,1,23,13.04,32.56,0,10,18,9,18.03,32.56,1,23,22,21,21.10,32.56,0,0,6,-1,6.08,32.56
7,0,0,0,13,13.00,38.90,10,0,11,14,14.04,38.90,0,13,11,14,11.05,38.90,0,13,1,24,11.05,38.90,11,14,12,37,23.02,38.90
4,0,0,0,20,20.00,38.60,0,20,1,31,11.05,38.60,0,20,21,18,21.10,38.60,1,31,23,31,22.00,38.60,0,0,14,0,14.00,38.60
4,0,0,0,25,25.00,50.61,0,25,1,40,15.03,50.61,0,25,31,25,31.00,50.61,1,40,21,40,20.00,50.61,0,0,28,0,28.00,50.61
4,0,0,0,25,25.00,55.66,0,25,0,50,25.00,55.66,0,25,16,25,16.00,55.66,0,50,16,52,16.12,55.66,0,0,17,-1,17.03,55.66
7,0,0,0,20,20.00,43.46,17,0,17,20,20.00,43.46,0,20,17,20,17.00,43.46,0,20,0,38,18.00,43.46,17,20,15,40,20.10,43.46
6,10,0,0,9,13.45,28.23,0,9,0,18,9.00,28.23,0,18,10,26,12.81,28.23,10,0,9,10,10.05,28.23,11,10,5,10,6.00,28.23
3,0,0,1,23,23.02,29.21,1,23,10,18,10.30,29.21,10,18,18,12,10.00,29.21,18,12,10,6,10.00,29.21,10,6,0,0,11.66,29.21
1,0,0,0,14,14.00,33.42,19,0,21,10,10.20,33.42,0,14,21,10,21.38,33.42,0,14,5,26,13.00,33.42,21,10,5,26,22.63,33.42
3,0,0,2,39,39.05,43.83,2,39,17,30,17.49,43.83,17,30,20,20,10.44,43.83,20,20,17,10,10.44,43.83,17,10,0,0,19.72,43.83
7,0,0,0,23,23.00,48.84,9,0,9,17,17.00,48.84,0,23,9,17,10.82,48.84,0,23,2,48,25.08,48.84,9,17,9,35,18.00,48.84
7,0,0,0,21,21.00,41.87,25,0,27,18,18.11,41.87,0,21,27,18,27.17,41.87,0,21,1,32,11.05,41.87,27,18,27,30,12.00,41.87
3,0,0,0,25,25.00,27.73,0,25,10,18,12.21,27.73,10,18,12,12,6.32,27.73,12,12,10,6,6.32,27.73,10,6,0,0,11.66,27.73
6,41,0,0,14,43.32,61.55,0,14,0,28,14.00,61.55,0,28,41,42,43.32,61.55,41,0,43,7,7.28,61.55,45,7,38,7,7.00,61.55
7,0,0,0,16,16.00,42.05,16,0,18,14,14.14,42.05,0,16,18,14,18.11,42.05,0,16,0,26,10.00,42.05,18,14,16,38,24.08,42.05
1,0,0,0,23,23.00,48.70,14,0,16,13,13.15,48.70,0,23,16,13,18.87,48.70,0,23,1,46,23.02,48.70,16,13,1,46,36.25,48.70
3,0,0,1,26,26.02,29.07,1,26,10,18,12.04,29.07,10,18,13,13,5.83,29.07,13,13,10,6,7.62,29.07,10,6,0,0,11.66,29.07
3,0,0,2,30,30.07,36.62,2,30,14,24,13.42,36.62,14,24,21,15,11.40,36.62,21,15,14,8,9.90,36.62,14,8,0,0,16.12,36.62
9,0,0,0,22,22.00,34.93,0,22,1,32,10.05,34.93,1,32,14,24,15.26,34.93,14,24,14,15,9.00,34.93,14,15,0,6,16.64,34.93
2,10,0,4,3,6.71,22.36,4,3,0,6,5.00,22.36,0,6,0,13,7.00,22.36,0,13,4,16,5.00,22.36,4,16,10,20,7.21,22.36
9,0,0,0,30,30.00,47.76,0,30,1,45,15.03,47.76,1,45,16,39,16.16,47.76,16,39,16,31,8.00,47.76,16,31,0,23,17.89,47.76
4,0,0,0,14,14.00,41.73,0,14,1,30,16.03,41.73,0,14,14,16,14.14,41.73,1,30,29,28,28.07,41.73,0,0,16,0,16.00,41.73
4,0,0,0,19,19.00,49.40,0,19,1,42,23.02,49.40,0,19,7,17,7.28,49.40,1,42,26,41,25.02,49.40,0,0,10,0,10.00,49.40
9,0,0,0,33,33.00,48.33,0,33,0,44,11.00,48.33,0,44,20,37,21.19,48.33,20,37,20,27,10.00,48.33,20,27,0,17,22.36,48.33
3,0,0,0,36,36.00,48.17,0,36,29,27,30.36,48.17,29,27,32,18,9.49,48.17,32,18,29,9,9.49,48.17,29,9,0,0,30.36,48.17
3,0,0,0,30,30.00,36.06,0,30,14,24,15.23,36.06,14,24,20,15,10.82,36.06,20,15,14,8,9.22,36.06,14,8,0,0,16.12,36.06
4,0,0,0,9,9.00,27.02,0,9,2,21,12.17,27.02,0,9,7,10,7.07,27.02,2,21,17,21,15.00,27.02,0,0,16,0,16.00,27.02
9,0,0,0,36,36.00,56.61,0,36,2,54,18.11,56.61,2,54,17,47,16.55,56.61,17,47,17,38,9.00,56.61,17,38,0,29,19.24,56.61
3,0,0,2,36,36.06,46.23,2,36,23,27,22.85,46.23,23,27,29,18,10.82,46.23,29,18,23,9,10.82,46.23,23,9,0,0,24.70,46.23
4,0,0,0,19,19.00,51.62,0,19,1,37,18.03,51.62,0,19,6,19,6.00,51.62,1,37,36,37,35.00,51.62,0,0,23,1,23.02,51.62
4,0,0,0,23,23.00,60.22,0,23,1,47,24.02,60.22,0,23,35,21,35.06,60.22,1,47,17,47,16.00,60.22,0,0,29,-2,29.07,60.22
7,0,0,0,14,14.00,33.24,8,0,9,13,13.04,33.24,0,14,9,13,9.06,33.24,0,14,2,32,18.11,33.24,9,13,8,20,7.07,33.24
4,0,0,0,25,25.00,42.95,0,25,0,37,12.00,42.95,0,25,8,25,8.00,42.95,0,37,11,39,11.18,42.95,0,0,18,0,18.00,42.95
2,10,0,4,3,6.71,22.36,4,3,0,6,5.00,22.36,0,6,0,13,7.00,22.36,0,13,4,16,5.00,22.36,4,16,10,20,7.21,22.36
4,0,0,0,7,7.00,19.42,0,7,0,14,7.00,19.42,0,7,6,7,6.00,19.42,0,14,8,16,8.25,19.42,0,0,11,0,11.00,19.42
1,0,0,0,8,8.00,33.30,24,0,25,8,8.06,33.30,0,8,25,8,25.00,33.30,0,8,18,22,22.80,33.30,25,8,18,22,15.65,33.30
1,0,0,0,24,24.00,52.48,25,0,27,16,16.12,52.48,0,24,27,16,28.16,52.48,0,24,15,45,25.81,52.48,27,16,15,45,31.38,52.48
7,0,0,0,8,8.00,30.87,11,0,13,9,9.22,30.87,0,8,13,9,13.04,30.87,0,8,0,28,20.00,30.87,13,9,13,16,7.00,30.87
3,0,0,0,28,28.00,31.30,0,28,12,21,13.89,31.30,12,21,14,14,7.28,31.30,14,14,12,7,7.28,31.30,12,7,0,0,13.89,31.30
4,0,0,0,9,9.00,29.00,0,9,1,20,11.05,29.00,0,9,13,9,13.00,29.00,1,20,20,20,19.00,29.00,0,0,16,-1,16.03,29.00
4,0,0,0,21,21.00,59.20,0,21,0,46,25.00,59.20,0,21,30,21,30.00,59.20,0,46,27,47,27.02,59.20,0,0,36,2,36.06,59.20
4,0,0,0,25,25.00,41.34,0,25,0,35,10.00,41.34,0,25,22,25,22.00,41.34,0,35,14,33,14.14,41.34,0,0,16,0,16.00,41.34
7,0,0,0,17,17.00,43.86,18,0,18,11,11.00,43.86,0,17,18,11,18.97,43.86,0,17,1,40,23.02,43.86,18,11,17,19,8.06,43.86
9,0,0,0,23,23.00,35.74,0,23,2,34,11.18,35.74,2,34,11,30,9.85,35.74,11,30,11,25,5.00,35.74,11,25,0,20,12.08,35.74
4,0,0,0,24,24.00,62.20,0,24,1,49,25.02,62.20,0,24,21,25,21.02,62.20,1,49,37,50,36.01,62.20,0,0,15,0,15.00,62.20
4,0,0,0,12,12.00,33.84,0,12,1,27,15.03,33.84,0,12,19,10,19.10,33.84,1,27,10,28,9.06,33.84,0,0,12,2,12.17,33.84
7,0,0,0,16,16.00,33.97,23,0,24,12,12.04,33.97,0,16,24,12,24.33,33.97,0,16,2,23,7.28,33.97,24,12,25,22,10.05,33.97
3,0,0,1,31,31.02,34.89,1,31,14,24,14.76,34.89,14,24,16,16,8.25,34.89,16,16,14,8,8.25,34.89,14,8,0,0,16.12,34.89
1,0,0,0,22,22.00,40.22,21,0,23,15,15.13,40.22,0,22,23,15,24.04,40.22,0,22,14,33,17.80,40.22,23,15,14,33,20.12,40.22
3,0,0,2,37,37.05,41.15,2,37,17,27,18.03,41.15,17,27,18,18,9.06,41.15,18,18,17,9,9.06,41.15,17,9,0,0,19.24,41.15
2,19,0,9,6,11.66,42.49,9,6,0,12,10.82,42.49,0,12,0,25,13.00,42.49,0,25,9,31,10.82,42.49,9,31,19,38,12.21,42.49
9,0,0,0,34,34.00,52.95,0,34,0,52,18.00,52.95,0,52,10,46,11.66,52.95,10,46,10,37,9.00,52.95,10,37,0,28,13.45,52.95
7,0,0,0,7,7.00,31.24,24,0,24,12,12.00,31.24,0,7,24,12,24.52,31.24,0,7,1,19,12.04,31.24,24,12,24,20,8.00,31.24
3,0,0,1,27,27.02,30.41,1,27,12,21,12.53,30.41,12,21,14,14,7.28,30.41,14,14,12,7,7.28,30.41,12,7,0,0,13.89,30.41
4,0,0,0,10,10.00,28.84,0,10,2,22,12.17,28.84,0,10,8,11,8.06,28.84,2,22,16,24,14.14,28.84,0,0,13,0,13.00,28.84
4,0,0,0,20,20.00,51.86,0,20,1,40,20.02,51.86,0,20,12,21,12.04,51.86,1,40,24,38,23.09,51.86,0,0,33,2,33.06,51.86
4,0,0,0,14,14.00,48.80,0,14,2,33,19.10,48.80,0,14,9,12,9.22,48.80,2,33,34,35,32.06,48.80,0,0,16,0,16.00,48.80
4,0,0,0,12,12.00,34.06,0,12,1,26,14.04,34.06,0,12,16,13,16.03,34.06,1,26,13,26,12.00,34.06,0,0,22,0,22.00,34.06
9,0,0,0,27,27.00,55.36,0,27,2,52,25.08,55.36,2,52,19,40,20.81,55.36,19,40,19,25,15.00,55.36,19,25,0,10,24.21,55.36
6,36,0,0,15,39.00,57.49,0,15,0,30,15.00,57.49,0,30,36,44,38.63,57.49,36,0,34,10,10.20,57.49,37,10,33,10,4.00,57.49
2,36,0,26,7,12.21,53.81,26,7,0,14,26.93,53.81,0,14,0,27,13.00,53.81,0,27,26,34,26.93,53.81,26,34,36,40,11.66,53.81
7,0,0,0,12,12.00,41.34,21,0,22,14,14.04,41.34,0,12,22,14,22.09,41.34,0,12,1,35,23.02,41.34,22,14,22,25,11.00,41.34
4,0,0,0,13,13.00,27.66,0,13,2,21,8.25,27.66,0,13,10,15,10.20,27.66,2,21,18,19,16.12,27.66,0,0,7,0,7.00,27.66
6,25,0,0,15,29.15,53.34,0,15,0,30,15.00,53.34,0,30,25,46,29.68,53.34,25,0,26,9,9.06,53.34,27,9,21,9,6.00,53.34
4,0,0,0,9,9.00,31.62,0,9,2,25,16.12,31.62,0,9,6,9,6.00,31.62,2,25,16,25,14.00,31.62,0,0,18,-1,18.03,31.62
7,0,0,0,16,16.00,32.57,10,0,10,11,11.00,32.57,0,16,10,11,11.18,32.57,0,16,1,28,12.04,32.57,10,11,9,31,20.02,32.57
3,0,0,0,20,20.00,23.85,0,20,9,15,10.30,23.85,9,15,13,10,6.40,23.85,13,10,9,5,6.40,23.85,9,5,0,0,10.30,23.85
4,0,0,0,10,10.00,24.60,0,10,2,22,12.17,24.60,0,10,11,10,11.00,24.60,2,22,8,20,6.32,24.60,0,0,10,0,10.00,24.60
7,0,0,0,12,12.00,23.09,6,0,7,11,11.05,23.09,0,12,7,11,7.07,23.09,0,12,1,22,10.05,23.09,7,11,7,21,10.00,23.09
4,0,0,0,9,9.00,42.20,0,9,2,34,25.08,42.20,0,9,23,10,23.02,42.20,2,34,25,34,23.00,42.20,0,0,19,1,19.03,42.20
4,0,0,0,14,14.00,26.83,0,14,0,24,10.00,26.83,0,14,12,12,12.17,26.83,0,24,6,24,6.00,26.83,0,0,6,2,6.32,26.83
4,0,0,0,24,24.00,44.78,0,24,0,39,15.00,44.78,0,24,18,24,18.00,44.78,0,39,14,37,14.14,44.78,0,0,11,-2,11.18,44.78
7,0,0,0,25,25.00,33.84,9,0,9,10,10.00,33.84,0,25,9,10,17.49,33.84,0,25,0,32,7.00,33.84,9,10,11,19,9.22,33.84
9,0,0,0,37,37.00,59.03,0,37,0,46,9.00,59.03,0,46,37,34,38.90,59.03,37,34,37,21,13.00,59.03,37,21,0,8,39.22,59.03
4,0,0,0,21,21.00,45.28,0,21,2,31,10.20,45.28,0,21,17,22,17.03,45.28,2,31,31,31,29.00,45.28,0,0,8,-2,8.25,45.28
4,0,0,0,24,24.00,45.49,0,24,0,36,12.00,45.49,0,24,25,26,25.08,45.49,0,36,18,36,18.00,45.49,0,0,15,-2,15.13,45.49
7,0,0,0,24,24.00,35.44,7,0,9,18,18.11,35.44,0,24,9,18,10.82,35.44,0,24,1,34,10.05,35.44,9,18,10,26,8.06,35.44
7,0,0,0,14,14.00,40.02,7,0,9,11,11.18,40.02,0,14,9,11,9.49,40.02,0,14,1,39,25.02,40.02,9,11,7,17,6.32,40.02
4,0,0,0,7,7.00,22.80,0,7,0,16,9.00,22.80,0,7,14,8,14.04,22.80,0,16,7,16,7.00,22.80,0,0,14,-2,14.14,22.80
1,0,0,0,16,16.00,33.30,21,0,22,13,13.04,33.30,0,16,22,13,22.20,33.30,0,16,4,25,9.85,33.30,22,13,4,25,21.63,33.30
4,0,0,0,8,8.00,27.73,0,8,1,25,17.03,27.73,0,8,10,7,10.05,27.73,1,25,12,25,11.00,27.73,0,0,10,0,10.00,27.73
1,0,0,0,21,21.00,48.10,17,0,17,7,7.00,48.10,0,21,17,7,22.02,48.10,0,21,10,45,26.00,48.10,17,7,10,45,38.64,48.10
3,0,0,2,30,30.07,33.54,2,30,14,24,13.42,33.54,14,24,15,15,9.06,33.54,15,15,14,8,7.07,33.54,14,8,0,0,16.12,33.54
4,0,0,0,13,13.00,46.69,0,13,0,34,21.00,46.69,0,13,11,14,11.05,46.69,0,34,32,33,32.02,46.69,0,0,9,0,9.00,46.69
7,0,0,0,22,22.00,44.38,17,0,17,23,23.00,44.38,0,22,17,23,17.03,44.38,0,22,0,41,19.00,44.38,17,23,17,33,10.00,44.38
4,0,0,0,16,16.00,46.75,0,16,0,33,17.00,46.75,0,16,7,16,7.00,46.75,0,33,31,33,31.00,46.75,0,0,29,-2,29.07,46.75
4,0,0,0,6,6.00,24.41,0,6,1,20,14.04,24.41,0,6,9,7,9.06,24.41,1,20,14,19,13.04,24.41,0,0,11,1,11.05,24.41
3,0,0,2,20,20.10,22.36,2,20,9,15,8.60,22.36,9,15,10,10,5.10,22.36,10,10,9,5,5.10,22.36,9,5,0,0,10.30,22.36
4,0,0,0,6,6.00,38.29,0,6,2,27,21.10,38.29,0,6,19,4,19.10,38.29,2,27,25,29,23.09,38.29,0,0,18,2,18.11,38.29
7,0,0,0,23,23.00,46.04,24,0,26,6,6.32,46.04,0,23,26,6,31.06,46.04,0,23,2,38,15.13,46.04,26,6,26,28,22.00,46.04
3,0,0,2,33,33.06,44.60,2,33,25,24,24.70,44.60,25,24,30,16,9.43,44.60,30,16,25,8,9.43,44.60,25,8,0,0,26.25,44.60
4,0,0,0,14,14.00,31.89,0,14,2,24,10.20,31.89,0,14,21,13,21.02,31.89,2,24,8,24,6.00,31.89,0,0,8,0,8.00,31.89
9,0,0,0,30,30.00,60.54,0,30,1,52,22.02,60.54,1,52,31,37,33.54,60.54,31,37,31,22,15.00,60.54,31,22,0,7,34.44,60.54
1,0,0,0,10,10.00,38.42,22,0,24,11,11.18,38.42,0,10,24,11,24.02,38.42,0,10,13,30,23.85,38.42,24,11,13,30,21.95,38.42
7,0,0,0,10,10.00,40.22,20,0,22,12,12.17,40.22,0,10,22,12,22.09,40.22,0,10,0,33,23.00,40.22,22,12,23,23,11.05,40.22
4,0,0,0,15,15.00,47.43,0,15,1,38,23.02,47.43,0,15,27,17,27.07,47.43,1,38,26,36,25.08,47.43,0,0,13,-1,13.04,47.43
1,0,0,0,24,24.00,44.60,13,0,15,14,14.14,44.60,0,24,15,14,18.03,44.60,0,24,0,42,18.00,44.60,15,14,0,42,31.76,44.60
4,0,0,0,6,6.00,20.52,0,6,1,15,9.06,20.52,0,6,14,4,14.14,20.52,1,15,10,15,9.00,20.52,0,0,6,2,6.32,20.52
7,0,0,0,19,19.00,42.45,9,0,10,17,17.03,42.45,0,19,10,17,10.20,42.45,0,19,0,41,22.00,42.45,10,17,11,24,7.07,42.45
4,0,0,0,13,13.00,49.68,0,13,1,36,23.02,49.68,0,13,32,13,32.00,49.68,1,36,29,38,28.07,49.68,0,0,13,0,13.00,49.68
4,0,0,0,13,13.00,47.17,0,13,1,37,24.02,47.17,0,13,25,11,25.08,47.17,1,37,14,39,13.15,47.17,0,0,15,-1,15.03,47.17
7,0,0,0,22,22.00,49.66,17,0,19,12,12.17,49.66,0,22,19,12,21.47,49.66,0,22,1,45,23.02,49.66,19,12,21,22,10.20,49.66
4,0,0,0,7,7.00,26.40,0,7,1,20,13.04,26.40,0,7,9,6,9.06,26.40,1,20,16,18,15.13,26.40,0,0,11,-1,11.05,26.40
9,0,0,0,34,34.00,57.27,0,34,0,56,22.00,57.27,0,56,12,48,14.42,57.27,12,48,12,39,9.00,57.27,12,39,0,30,15.00,57.27
7,0,0,0,15,15.00,36.72,17,0,18,20,20.02,36.72,0,15,18,20,18.68,36.72,0,15,1,32,17.03,36.72,18,20,18,27,7.00,36.72
